提示词长度 (tokens),预填充耗时 (ms),预填充速度 (tokens/s),输出长度 (tokens),输出耗时 (ms),输出速度 (tokens/s),状态
8192,1000.20,8190.36,128,801.30,159.74,1/1 并发成功
9216,1347.95,6837.05,128,749.40,170.80,1/1 并发成功
10240,1527.37,6704.35,128,757.10,169.07,1/1 并发成功
11264,1952.45,5769.16,128,715.00,179.02,1/1 并发成功
12288,1567.90,7837.23,128,706.80,181.10,1/1 并发成功
13312,1558.18,8543.28,128,675.70,189.43,1/1 并发成功
14336,1618.13,8859.62,128,689.50,185.64,1/1 并发成功
15360,1737.18,8841.94,128,728.50,175.70,1/1 并发成功
16384,1844.72,8881.55,128,744.60,171.90,1/1 并发成功
17408,2139.49,8136.52,128,770.10,166.21,1/1 并发成功
18432,2343.49,7865.19,128,738.40,173.35,1/1 并发成功
19456,2360.26,8243.17,128,689.60,185.61,1/1 并发成功
20480,2458.08,8331.69,128,476.90,268.40,1/1 并发成功
21504,2413.10,8911.36,128,696.60,183.75,1/1 并发成功
22528,2516.45,8952.28,128,780.10,164.08,1/1 并发成功
23552,2630.59,8953.13,128,773.20,165.55,1/1 并发成功
24576,2737.32,8978.11,128,698.70,183.20,1/1 并发成功
25600,3038.54,8425.10,128,791.70,161.68,1/1 并发成功
26624,3235.17,8229.55,128,722.00,177.29,1/1 并发成功
27648,3303.56,8369.16,128,634.70,201.67,1/1 并发成功
28672,3271.74,8763.52,128,735.40,174.05,1/1 并发成功
29696,3325.77,8929.05,128,776.70,164.80,1/1 并发成功
30720,3412.93,9001.07,128,699.60,182.96,1/1 并发成功
31744,3544.07,8956.94,128,686.00,186.59,1/1 并发成功
32768,3639.74,9002.83,128,664.60,192.60,1/1 并发成功
